No.,No of ghosts,Win Condition,Path Length
1,10,won,131
2,10,won,133
3,10,Lost,4
4,10,won,117
5,10,won,113
6,10,won,115
7,10,won,127
8,10,won,103
9,10,won,109
10,10,won,113
11,10,Lost,55
12,10,won,115
13,10,won,151
14,10,won,114
15,10,won,121
16,10,won,127
17,10,won,119
18,10,Lost,54
19,10,won,113
20,10,won,121
21,10,won,111
22,10,won,107
23,10,Lost,81
24,10,won,137
25,10,Lost,17
26,10,Lost,41
27,10,won,113
28,10,won,129
29,10,won,127
30,10,won,105
31,10,won,125
32,10,won,117
33,10,won,127
34,10,won,107
35,10,won,103
36,10,Lost,26
37,10,Lost,92
38,10,won,121
39,10,won,109
40,10,Lost,68
41,10,won,113
42,10,won,117
43,10,won,109
44,10,won,125
45,10,won,109
46,10,won,149
47,10,won,113
48,10,won,121
49,10,won,133
50,10,won,119
51,20,won,115
52,20,won,137
53,20,won,131
54,20,Lost,96
55,20,won,119
56,20,Lost,69
57,20,Lost,9
58,20,Lost,16
59,20,Lost,109
60,20,won,159
61,20,Lost,25
62,20,Lost,116
63,20,Lost,58
64,20,won,155
65,20,Lost,82
66,20,Lost,8
67,20,won,111
68,20,Lost,17
69,20,won,145
70,20,won,117
71,20,won,109
72,20,Lost,27
73,20,won,109
74,20,won,117
75,20,won,117
76,20,won,117
77,20,Lost,57
78,20,Lost,105
79,20,Lost,1
80,20,won,125
81,20,Lost,107
82,20,Lost,18
83,20,Lost,86
84,20,Lost,13
85,20,Lost,67
86,20,Lost,31
87,20,Lost,99
88,20,won,111
89,20,Lost,32
90,20,Lost,59
91,20,Lost,71
92,20,won,115
93,20,Lost,26
94,20,won,107
95,20,won,125
96,20,Lost,74
97,20,Lost,8
98,20,won,115
99,20,Lost,6
100,20,won,123
101,30,Lost,89
102,30,won,115
103,30,won,116
104,30,won,101
105,30,won,35
106,30,won,102
107,30,won,43
108,30,won,31
109,30,won,105
110,30,won,82
111,30,won,111
112,30,won,119
113,30,Lost,21
114,30,Lost,56
115,30,Lost,105
116,30,Lost,11
117,30,Lost,48
118,30,Lost,50
119,30,Lost,46
120,30,won,107
121,30,Lost,48
122,30,Lost,34
123,30,Lost,114
124,30,Lost,30
125,30,Lost,99
126,30,won,123
127,30,Lost,7
128,30,Lost,66
129,30,Lost,7
130,30,won,111
131,30,won,129
132,30,Lost,9
133,30,Lost,4
134,30,won,127
135,30,Lost,105
136,30,won,125
137,30,Lost,50
138,30,Lost,22
139,30,Lost,31
140,30,Lost,21
141,30,won,117
142,30,won,129
143,30,Lost,15
144,30,Lost,18
145,30,Lost,43
146,30,Lost,43
147,30,won,105
148,30,Lost,88
149,30,Lost,79
150,30,Lost,21
151,40,Lost,5
152,40,Lost,5
153,40,won,113
154,40,Lost,72
155,40,Lost,3
156,40,Lost,33
157,40,Lost,15
158,40,Lost,14
159,40,won,109
160,40,Lost,19
161,40,Lost,7
162,40,Lost,12
163,40,Lost,62
164,40,Lost,45
165,40,Lost,19
166,40,Lost,20
167,40,won,115
168,40,Lost,40
169,40,Lost,6
170,40,won,116
171,40,Lost,6
172,40,Lost,6
173,40,won,84
174,40,won,66
175,40,Lost,5
176,40,won,57
177,40,won,100
178,40,won,178
179,40,won,29
180,40,won,11
181,40,won,115
182,40,Lost,62
183,40,won,109
184,40,Lost,55
185,40,Lost,13
186,40,won,161
187,40,won,19
188,40,won,70
189,40,won,14
190,40,won,29
191,40,won,17
192,40,won,49
193,40,won,21
194,40,won,50
195,40,won,13
196,40,won,127
197,40,won,9
198,40,won,33
