No.,No of ghosts,Win Condition,Path Length
1,10,won,99
2,10,won,103
3,10,Lost,67
4,10,won,115
5,10,won,99
6,10,won,99
7,10,won,101
8,10,won,101
9,10,won,101
10,10,won,101
11,10,won,107
12,10,won,99
13,10,won,99
14,10,won,113
15,10,won,105
16,10,won,105
17,10,won,101
18,10,won,99
19,10,won,101
20,10,won,99
21,10,won,99
22,10,Lost,2
23,10,won,99
24,10,won,101
25,10,Lost,22
26,10,won,101
27,10,won,99
28,10,won,99
29,10,Lost,38
30,10,Lost,4157
31,10,Lost,87
32,10,won,129
33,10,Lost,60
34,10,won,111
35,10,Lost,4
36,10,won,99
37,10,won,101
38,10,won,119
39,10,won,99
40,10,won,99
41,10,won,105
42,10,won,105
43,10,won,99
44,10,won,109
45,10,won,99
46,10,won,99
47,10,Lost,78
48,10,won,99
49,10,won,103
50,10,won,99
51,20,Lost,38
52,20,won,99
53,20,won,119
54,20,won,99
55,20,won,101
56,20,Lost,17
57,20,won,99
58,20,Lost,32
59,20,won,103
60,20,won,99
61,20,won,99
62,20,Lost,92
63,20,Lost,7
64,20,Lost,38
65,20,Lost,1
66,20,won,117
67,20,won,103
68,20,Lost,56
69,20,won,99
70,20,won,107
71,20,won,105
72,20,Lost,1099
73,20,Lost,68
74,20,won,103
75,20,won,101
76,20,Lost,77
77,20,Lost,1292
78,20,Lost,25
79,20,Lost,76
80,20,Lost,1
81,20,Lost,90
82,20,won,99
83,20,won,117
84,20,won,101
85,20,won,99
86,20,Lost,95
87,20,won,99
88,20,won,99
89,20,Lost,25
90,20,won,99
91,20,won,103
92,20,Lost,21
93,20,won,123
94,20,Lost,1
95,20,Lost,51
96,20,won,101
97,20,Lost,83
98,20,Lost,84
99,20,Lost,10
100,20,won,103
101,30,Lost,58
102,30,Lost,47
103,30,Lost,2
104,30,Lost,24
105,30,Lost,37
106,30,Lost,14
107,30,Lost,14
108,30,won,109
109,30,won,103
110,30,won,105
111,30,Lost,29
112,30,won,99
113,30,Lost,417
114,30,Lost,39
115,30,Lost,9
116,30,Lost,45
117,30,Lost,102
118,30,Lost,9
119,30,Lost,9
120,30,won,99
121,30,Lost,30
122,30,Lost,22
123,30,won,105
124,30,Lost,8
125,30,won,101
126,30,Lost,1054
127,30,won,117
128,30,Lost,27
129,30,Lost,16
130,30,Lost,13
131,30,Lost,37
132,30,won,101
133,30,Lost,34
134,30,won,105
135,30,Lost,41
136,30,won,103
137,30,won,129
138,30,Lost,95
139,30,won,101
140,30,Lost,19
141,30,won,113
142,30,won,103
143,30,won,105
144,30,won,99
145,30,Lost,22
146,30,Lost,3354
147,30,Lost,9
148,30,won,107
149,30,won,101
150,30,Lost,2
151,40,Lost,88
