No.,No of ghosts,Win Condition,Path Length
1,10,Won,127
2,10,Won,107
3,10,Won,109
4,10,Won,123
5,10,Won,109
6,10,Won,105
7,10,Won,109
8,10,Won,131
9,10,Won,117
10,10,Won,109
11,10,Won,107
12,10,Won,119
13,10,Won,231
14,10,Won,119
15,10,Won,117
16,10,Won,117
17,10,Won,119
18,10,Won,111
19,10,Won,121
20,10,Won,129
21,10,Won,119
22,10,Won,107
23,10,Won,121
24,10,Won,115
25,10,Won,131
26,10,Won,153
27,10,Won,117
28,10,Won,113
29,10,Won,111
30,10,Won,123
31,10,Won,117
32,10,Won,137
33,10,Won,115
34,10,Won,119
35,10,Won,129
36,10,Won,111
37,10,Won,123
38,10,Lost,78
39,10,Won,131
40,10,Won,147
41,10,Won,115
42,10,Won,103
43,10,Won,121
44,10,Won,117
45,10,Won,119
46,10,Won,111
47,10,Won,127
48,10,Won,115
49,10,Won,115
50,10,Won,121
51,20,Won,117
52,20,Won,123
53,20,Won,115
54,20,Won,119
55,20,Won,113
56,20,Won,117
57,20,Won,145
58,20,Won,107
59,20,Won,111
60,20,Won,119
61,20,Won,177
62,20,Won,119
63,20,Won,113
64,20,Won,117
65,20,Won,150
66,20,Won,117
67,20,Won,119
68,20,Lost,71
69,20,Won,111
70,20,Won,109
71,20,Won,137
72,20,Won,119
73,20,Won,225
74,20,Won,129
75,20,Won,125
76,20,Won,140
77,20,Won,119
78,20,Won,105
79,20,Won,113
80,20,Won,121
81,20,Won,117
82,20,Won,127
83,20,Won,125
84,20,Won,113
85,20,Won,115
86,20,Won,113
87,20,Won,125
88,20,Won,111
89,20,Won,141
90,20,Won,139
91,20,Won,103
92,20,Won,111
93,20,Won,123
94,20,Won,103
95,20,Won,105
96,20,Won,247
97,20,Lost,37
98,20,Won,109
99,20,Won,121
100,20,Won,129
101,30,Won,113
102,30,Lost,108
103,30,Won,267
104,30,Won,159
105,30,Won,113
106,30,Won,133
107,30,Won,111
108,30,Won,215
109,30,Won,129
110,30,Lost,7
111,30,Won,163
112,30,Won,111
113,30,Won,139
114,30,Won,115
115,30,Lost,89
116,30,Won,123
117,30,Won,117
118,30,Won,117
119,30,Won,133
120,30,Won,143
121,30,Won,113
122,30,Won,131
123,30,Won,137
124,30,Won,131
125,30,Won,239
126,30,Won,127
127,30,Won,141
128,30,Won,125
129,30,Won,119
130,30,Won,101
131,30,Won,146
132,30,Won,117
133,30,Won,113
134,30,Won,115
135,30,Won,109
136,30,Won,175
137,30,Won,111
138,30,Won,133
139,30,Won,125
140,30,Won,133
141,30,Lost,9
142,30,Won,107
143,30,Lost,20
144,30,Won,127
145,30,Won,143
146,30,Won,119
147,30,Won,113
148,30,Won,133
149,30,Lost,64
150,30,Won,107
151,40,Won,121
152,40,Won,115
153,40,Won,119
154,40,Won,117
155,40,Lost,42
156,40,Won,107
157,40,Won,109
158,40,Won,121
159,40,Won,117
160,40,Won,103
161,40,Won,119
162,40,Won,109
163,40,Won,117
